2,SYNONYMS,,AT,LEAST,28,WORDS,,DATE,>,1700
LOANWORDS,EXCLUDED

LDND,BAODI,LI_BA,LI_TO,BAHA_,BUYAN,CA_HA,CUN{T,ECUN_,GELAO,GELAO,GELAO,GREEN,HONGF,JINCH,JINXI,JUDU_,LACHI,LAHA{,LAKKJ,LANGJ,MULAO,NA_KH,NIUPO,PAHA{,PHO_B,PUBIA,TA_MI,WHITE,YERON,ZHENF,BLACK,DEHON,DEHON,DONGM,DONGY,FANGC,FUSUI,GUIGA,HAWYI,JINGH,JINGH,JINPI,KAM{T,KAM_Z,KHORA,LAIBI,LALIU,LALIU,LAMPA,LAO{T,LAOTI,LIANS,LINCH,LONGA,LONGZ,LU{TK,LUE_C,LUE_M,LUNG_,LUNG_,LUOCH,LVCHU,MAGUA,MAK{T,MANGS,MAONA,MENGL,MULAO,NINGM,NORTH,NUNG{,ONG_B,PO_AI,QINZH,SAEK{,SAEK_,SAEK_,SANDO,SHAN{,SHAN_,SHAN_,SHAN_,SHANG,SHANG,SHUIQ,SIAME,SIAME,SONGK,SOUTH,SUI{T,SUI_J,SUI_L,TAI_C,TAI_D,TAI_K,TAI_L,TAI_L,TAI_L,TAI_N,TAI_N,TAI_P,TAI_P,TAI_W,TAI_W,TAIYA,TAIYA,TAY{T,TEN{T,TEN_2,THAI{,THAI_,THAI_,TIANZ,WANGM,WHITE,WHITE,WHITE,WU_MI,WUDIN,WUMIN,WUMIN,XIANA,YANG{,YAY{T,YAY_2,YONGN,YUANJ,YUANY,ZHANG,ZHUAN,ZHUAN

BAODING_HLAI{TK.HLAI|Tai-K,.00
LI_BAODING{TK.HLAI|Tai-Kad,24.56,.00
LI_TONGSHI{TK.HLAI|Tai-Kad,40.76,24.07,.00
BAHA_BUYANG{TK.KADAI|Tai-K,93.12,90.20,93.65,.00
FANGCUN_MAK{TK.KAM-TAI|Tai,86.52,84.33,88.87,87.90,91.72,92.68,95.16,89.72,92.47,93.03,97.68,102.69,97.96,99.69,81.08,96.32,97.28,72.90,80.59,84.46,100.86,96.19,98.45,82.91,89.98,87.81,93.14,97.34,90.87,95.64,86.60,80.02,81.87,71.66,77.31,.00
FUSUI_CENTRAL_HONGSHUIHE_Z,84.15,82.40,80.58,87.27,89.74,94.51,81.66,93.75,90.09,93.67,89.96,96.09,105.32,97.65,83.43,95.17,92.86,83.24,90.44,89.63,98.71,95.99,98.47,87.66,94.79,88.29,91.64,96.32,94.03,94.65,59.05,59.51,58.98,86.60,72.08,76.07,.00
GUIGANG_CENTRAL_HONGSHUIHE,84.99,82.36,80.46,87.17,91.71,96.11,81.50,92.19,94.13,98.95,95.36,96.30,101.90,97.93,83.87,92.77,91.46,85.27,89.31,91.59,99.91,96.87,98.68,87.11,93.58,86.14,92.17,96.31,94.11,95.32,60.31,61.61,65.02,85.32,78.14,76.20,41.41,.00
HAWYIENGZ_ZHUANG{TK.KAM-TA,85.23,84.25,82.60,88.40,90.66,95.74,84.53,86.29,93.62,96.79,93.51,92.96,99.91,95.39,85.22,93.14,90.97,79.23,87.82,91.12,99.94,95.18,98.37,86.90,95.81,87.42,92.17,96.02,94.14,94.01,67.30,67.55,66.80,85.00,79.09,78.52,47.51,35.66,.00
JINGHONG_TAI_LUE{TK.KAM-TA,78.09,79.18,81.72,92.67,89.58,94.36,85.07,90.64,85.80,89.62,88.20,91.86,101.07,95.58,85.50,95.01,94.21,75.70,89.51,85.99,98.51,94.06,98.20,86.17,93.68,84.32,88.80,99.29,89.61,93.17,50.97,56.46,34.91,90.11,76.24,75.09,55.48,61.05,63.60,.00
JINGHONG_TAI_LUE_2{TK.KAM-,78.42,77.30,78.60,91.26,91.95,93.12,84.43,92.35,86.69,89.45,91.52,96.07,100.08,98.41,84.80,96.95,94.63,75.83,90.45,86.38,97.71,95.08,100.56,89.32,94.84,85.79,86.80,100.35,90.54,93.52,52.72,48.45,35.97,87.40,76.38,77.53,56.61,60.19,65.56,24.09,.00
JINPING_TAI{TK.KAM-TAI|Tai,81.04,79.82,79.84,89.18,91.39,94.54,82.44,91.52,90.68,93.66,90.50,94.48,99.56,97.02,83.09,96.03,94.05,79.45,88.70,87.05,94.48,92.83,102.05,86.67,94.88,87.46,88.51,101.91,86.86,92.64,46.52,50.69,42.84,90.20,71.36,73.86,54.11,58.08,63.57,38.76,37.11,.00
KAM{TK.KAM-TAI|Tai-Kadai,K,90.52,89.80,90.60,95.68,88.68,92.84,94.30,92.05,88.52,89.70,89.51,94.80,95.82,97.24,80.60,98.96,95.84,69.40,87.39,88.34,103.06,98.07,96.77,86.39,94.88,82.28,91.51,96.04,93.88,92.41,73.55,75.91,76.66,75.33,85.84,73.62,75.67,81.69,83.35,75.98,75.72,77.04,.00
KAM_ZHANGLU{TK.KAM-TAI|Tai,85.41,84.79,84.79,91.52,86.12,97.19,93.70,90.94,92.10,94.22,93.02,92.97,96.61,102.49,78.52,97.40,100.60,66.65,85.67,84.33,102.81,97.40,97.13,85.23,96.95,82.52,93.65,99.39,91.75,94.12,84.93,75.82,73.45,59.76,80.83,68.44,70.81,77.66,80.34,74.09,72.19,74.32,38.11,.00
KHORAT_THAI{TK.KAM-TAI|Tai,79.55,78.37,78.60,90.70,85.72,94.44,85.59,91.10,88.44,91.25,87.91,92.49,99.06,97.18,87.97,93.60,95.05,79.44,90.16,84.06,96.22,93.87,96.83,87.18,96.01,84.15,88.35,96.92,89.67,95.66,46.49,54.75,49.93,88.12,73.91,82.58,56.91,63.75,65.29,47.11,47.25,51.35,78.28,75.20,.00
LAIBIN_CENTRAL_HONGSHUIHE_,82.54,79.69,77.18,88.38,90.99,94.96,82.27,92.38,93.75,99.63,93.97,94.95,102.44,97.41,82.72,92.57,90.76,83.80,86.24,91.59,100.88,97.06,99.09,88.80,93.84,85.63,90.60,96.89,96.51,95.67,59.86,62.30,65.09,80.16,78.79,78.05,45.00,20.33,31.78,60.54,60.06,57.88,81.42,77.15,61.46,.00
LALIU_MAK{TK.KAM-TAI|Tai-K,90.41,88.50,90.90,85.98,92.79,90.35,95.88,90.75,91.51,95.86,102.78,104.18,98.62,100.78,79.39,94.52,96.01,73.99,80.56,88.40,101.96,96.37,95.62,80.66,87.58,92.40,92.99,95.12,94.85,94.35,84.58,84.49,85.45,71.59,84.17,28.95,78.15,74.98,82.00,78.47,80.35,80.71,72.61,70.98,84.85,75.53,.00
LALIU_MAK_2{TK.KAM-TAI|Tai,89.32,86.17,88.64,88.38,93.68,94.12,96.10,90.44,93.40,93.80,100.26,103.82,95.85,98.69,80.59,95.69,98.21,75.16,80.54,86.95,101.00,97.37,97.40,82.83,91.47,88.44,92.61,98.13,90.68,96.66,85.26,82.21,83.53,66.43,81.09,20.50,78.23,77.47,81.42,78.26,80.18,75.35,75.20,68.77,83.90,77.34,23.92,.00
LAMPANG_THAI{TK.KAM-TAI|Ta,86.33,86.42,85.45,94.94,89.47,95.03,92.19,95.48,90.82,92.59,92.71,94.93,98.36,99.27,85.57,95.04,97.94,79.79,91.48,89.47,95.07,98.73,95.03,91.88,93.58,87.15,88.44,97.91,91.80,91.56,56.06,67.16,57.39,84.76,80.52,83.43,68.60,73.51,76.37,52.34,51.25,56.54,77.47,76.48,42.52,72.50,85.46,84.61,.00
LAO{TK.KAM-TAI|Tai-Kadai,K,85.58,86.46,88.62,90.89,89.88,96.09,87.28,94.47,90.21,93.11,92.18,95.28,100.06,98.01,90.32,94.84,95.90,83.96,92.88,91.12,97.65,97.73,98.28,90.99,95.96,88.52,91.23,97.18,90.30,94.30,37.98,62.79,54.62,92.31,80.28,86.12,60.99,63.78,69.49,48.54,48.98,51.68,71.28,82.97,42.64,61.32,85.48,86.34,51.46,.00
LAOTIEN{TK.KAM-TAI|Tai-Kad,83.82,83.38,83.65,87.89,87.91,93.61,79.50,92.78,85.17,94.23,90.17,97.90,101.22,95.98,88.19,96.14,92.81,81.52,92.01,87.35,99.99,96.90,99.18,84.65,94.71,80.00,88.02,95.36,97.64,93.29,32.87,56.32,52.67,89.12,75.33,84.67,58.33,62.68,65.46,49.20,44.71,50.22,66.12,76.43,49.21,60.09,81.31,84.96,58.53,33.85,.00
LIANSHAN_CENTRAL_HONGSHUIH,89.61,86.31,85.44,84.17,90.02,95.97,84.79,83.80,94.80,95.39,94.95,95.96,98.56,96.81,86.00,92.45,92.41,85.21,88.41,88.77,101.04,96.52,98.33,82.78,93.51,90.81,91.68,96.75,95.81,93.67,68.19,64.90,62.96,84.26,78.79,80.43,53.82,42.64,42.97,64.68,65.92,64.45,82.08,78.26,69.50,44.83,80.43,79.50,79.19,72.33,65.27,.00
LINCHENG_LINGAO{TK.KAM-TAI,84.68,80.37,80.14,92.11,93.45,93.71,86.65,94.41,93.07,96.26,89.99,91.54,99.26,97.73,94.96,96.92,95.90,84.86,101.30,92.93,92.75,98.78,95.96,88.00,96.52,89.28,96.15,96.74,99.16,96.73,72.91,80.82,77.67,91.06,18.50,85.68,74.64,80.60,81.78,78.97,79.11,77.44,87.09,84.64,71.89,82.40,91.04,87.77,78.18,79.48,77.43,82.61,.00
LONGAN_CENTRAL_HONGSHUIHE_,83.34,79.40,77.60,86.18,90.09,96.48,82.84,92.69,91.20,93.00,89.12,92.20,99.59,93.15,79.14,92.91,92.33,80.92,86.08,89.78,99.20,95.80,97.14,86.54,93.52,88.70,89.62,93.14,94.24,94.64,63.25,64.23,63.93,86.33,77.56,74.83,24.26,42.69,47.62,59.41,63.05,59.26,76.66,75.66,58.13,44.80,76.95,76.61,69.42,62.35,62.97,50.66,76.58,.00
LONGZHOU_ZHUANG{TK.KAM-TAI,85.12,80.71,80.44,87.84,89.64,97.56,88.25,86.06,91.92,92.61,93.73,98.43,100.80,96.01,85.57,94.88,93.85,77.58,87.89,87.93,94.73,93.77,98.72,90.95,96.89,89.53,86.60,98.95,89.72,96.35,62.69,56.70,57.35,89.90,79.57,80.22,60.36,62.01,61.38,52.21,48.40,53.62,83.77,81.18,54.92,63.60,82.74,82.45,66.49,61.92,61.08,68.95,80.53,68.17,.00
